Date, Open, High, Low, Close, Volume
08/22/19,17,17,17,17,1000
08/21/19,17.05,17.5,17,17.05,600
08/20/19,17.5,17.5,17.5,17.5,200
08/19/19,17.3,18,17,17.3,300
08/16/19,17,17,17,17,400
08/15/19,16.8,18,16.65,16.8,1100
08/14/19,18.5,19,18,18.5,200
08/13/19,18,18,18,18,1100
08/09/2019,17.95,18,17.95,17.95,2900
08/08/2019,17.95,18,17.95,17.95,4200
08/07/2019,18,18,18,18,900
08/06/2019,18.4,19,18,18.4,500
08/05/2019,18,18,18,18,100
08/02/2019,18,18,18,18,100
08/01/2019,18,18,18,18,3700
07/31/19,18,18,18,18,200
07/30/19,18,18,18,18,200
07/29/19,18,18.1,18,18,700
07/26/19,18.1,18.6,18.1,18.1,16400
07/25/19,18.1,18.1,18.1,18.1,5100
07/24/19,18.15,19,18.1,18.15,9200
07/23/19,18.1,18.1,18.1,18.1,600
07/19/19,19,19,19,19,700
07/18/19,18.6,19,18.5,18.6,10700
07/17/19,19,19,19,19,300
07/16/19,19.5,19.6,19.5,19.5,700
07/15/19,18.5,18.5,18.5,18.5,600
07/12/2019,19.15,19.5,18.5,19.15,1600
07/11/2019,19,19,19,19,400
07/10/2019,19,19,19,19,12200
07/09/2019,18.95,19,18.5,18.95,2200
07/08/2019,18.85,19,18.5,18.85,900
07/04/2019,19,19.4,19,19,1400
07/03/2019,19.4,19.45,19,19.4,50600
07/02/2019,19.45,19.45,19.45,19.45,1000
07/01/2019,19.05,19.5,18.1,19.05,1300
06/28/19,18.1,18.7,18.1,18.1,16500
06/27/19,18.3,18.7,18,18.3,400
06/26/19,18.1,18.1,18.1,18.1,100
06/25/19,18.85,19.3,18,18.85,3100
06/24/19,18.7,19,17.8,18.7,3700
06/21/19,17.8,18.15,17.7,17.8,18600
06/20/19,17.7,17.85,17.1,17.7,5900
06/19/19,17.55,18.15,17,17.55,10600
06/18/19,18.15,18.35,17.85,18.15,12700
06/17/19,18.25,18.5,17.45,18.25,17200
